Partlist exported from /home/denis/BACKUP/EEZ/PCB/Programmable PSU/DIB/EEZ DIB MIO168 r1B1.sch at 9.3.2020. 17:20

Assembly variant: ''

Qty Value           Device           Parts                                                                                                                                                                                                                                                        
8                   SHORTNOHOLE      SH1, SH2, SH3, SH4, SH5, SH6, SH7, SH8                                                                                                                                                                                                                       
12  1K              R-EU_R0805       R50, R51, R52, R53, R54, R55, R56, R57, R61, R69, R73, R77                                                                                                                                                                                                   
4   1K1             R-EU_R0805       R67, R71, R75, R79                                                                                                                                                                                                                                           
1   1K8             R-EU_R0805       R33                                                                                                                                                                                                                                                          
1   1n              C-EUC0805        C24                                                                                                                                                                                                                                                          
10  1u              C-EUC0805        C7, C8, C9, C11, C15, C20, C37, C86, C87, C92                                                                                                                                                                                                                
8   2K7             R-EU_R1206       R34, R35, R36, R37, R38, R39, R40, R41                                                                                                                                                                                                                       
5   2N7002PS        2N7002PS         Q1, Q2, Q3, Q4, Q5                                                                                                                                                                                                                                           
6   2n2             C-EUC0805        C41, C50, C89, C90, C96, C98                                                                                                                                                                                                                                 
3   2u2             C-EUC0805        C14, C39, C40                                                                                                                                                                                                                                                
1   4K7             R-EU_R0805       R6                                                                                                                                                                                                                                                           
3   4n7/1kV         C-EUC1812        C6, C12, C97                                                                                                                                                                                                                                                 
5   4u7             C-EUC0805        C48, C49, C59, C60, C66                                                                                                                                                                                                                                      
3   4u7             C-EUC1206        C16, C18, C21                                                                                                                                                                                                                                                
1   4u7             ECAP1206         C25                                                                                                                                                                                                                                                          
6   9K09 0.1%       R-EU_R0805       R16, R18, R21, R22, R24, R28                                                                                                                                                                                                                                 
5   10K             R-EU_R0805       R7, R12, R30, R58, R59                                                                                                                                                                                                                                       
2   10n             C-EUC0805        C17, C19                                                                                                                                                                                                                                                     
3   10u             C-EUC1206        C91, C94, C95                                                                                                                                                                                                                                                
1   10u             C-EUC1210        C75                                                                                                                                                                                                                                                          
4   15R             R-EU_R0805       R9, R11, R13, R15                                                                                                                                                                                                                                            
2   18p             C-EUC0603        C22, C23                                                                                                                                                                                                                                                     
2   22n             C-EUC0805        C44, C53                                                                                                                                                                                                                                                     
1   22u             C-EUC1206        C93                                                                                                                                                                                                                                                          
1   25MHz           XTALSMD          Y1                                                                                                                                                                                                                                                           
8   27K             R-EU_R0805       R42, R43, R44, R45, R46, R47, R48, R49                                                                                                                                                                                                                       
5   47K             R-EU_R0805       R1, R2, R3, R4, R5                                                                                                                                                                                                                                           
7   47R             R-EU_R0805       R8, R20, R27, R60, R68, R72, R76                                                                                                                                                                                                                             
1   74HC126PW,118   74HC126PW,118    IC19                                                                                                                                                                                                                                                         
4   75K 0.1%        R-EU_R0805       R17, R23, R25, R29                                                                                                                                                                                                                                           
5   100R            R-EU_R0805       R31, R66, R70, R74, R78                                                                                                                                                                                                                                      
52  100n            C-EUC0603        C1, C2, C3, C4, C5, C10, C13, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C38, C42, C43, C45, C46, C47, C51, C52, C54, C55, C56, C57, C58, C61, C62, C64, C65, C67, C68, C69, C70, C71, C72, C73, C74, C78, C79, C80, C81, C82, C83, C84, C85, C88
1   150n            C-EUC0805        C63                                                                                                                                                                                                                                                          
2   180R            R-EU_R0805       R19, R26                                                                                                                                                                                                                                                     
2   330p            C-EUC0805        C76, C77                                                                                                                                                                                                                                                     
1   470R            R-EU_R0805       R32                                                                                                                                                                                                                                                          
1   4907            PCB_TAB-4907     J1                                                                                                                                                                                                                                                           
1   77317-104-28LF  77317-104-28LF   X1                                                                                                                                                                                                                                                           
1   503398-1892     5033981892       J2                                                                                                                                                                                                                                                           
2   691327310016    691327310016     X3, X4                                                                                                                                                                                                                                                       
1   ADS8674IDBT     ADS8674IDBT      IC36                                                                                                                                                                                                                                                         
14  BAT54SFILM      BAT54S           D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14                                                                                                                                                                                                  
9   BLM18AG102SH1D  FERRITE_BEAD0603 FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9                                                                                                                                                                                                                  
8   BSS169          BSS169           Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13                                                                                                                                                                                                                           
4   BTS3408G        BTS3408G         IC15, IC16, IC17, IC18                                                                                                                                                                                                                                       
1   DAC7563TDGSR    DAC7563TDGSR     IC13                                                                                                                                                                                                                                                         
2   DAC7760IPWPR    DAC7760IPWPR     IC10, IC11                                                                                                                                                                                                                                                   
14  DG468DV-T1-E3   DG468DV-T1-E3    IC21, IC22, IC23, IC24, IC25, IC26, IC27, IC28, IC29, IC30, IC31, IC32, IC33, IC34                                                                                                                                                                           
3   DLW21SN371SQ2L  DLW21S           L1, L2, L3                                                                                                                                                                                                                                                   
1   DR1206-10K-4/8  R_ARRAY4         RN3                                                                                                                                                                                                                                                          
4   DR1206-33R-4/8  R_ARRAY4         RN1, RN2, RN4, RN5                                                                                                                                                                                                                                           
2   FIDUCIAL_2      FIDUCIAL_2       FM1, FM2                                                                                                                                                                                                                                                     
4   JP2-CUT-0805    JP2-CUT-0805     JP1, JP2, JP3, JP4                                                                                                                                                                                                                                           
1   LP2985-5DBVR    LP2985           IC5                                                                                                                                                                                                                                                          
1   LP2985-33DBVR   LP2985           IC6                                                                                                                                                                                                                                                          
1   M24C32-WMN6P    AT24CXXSOIC8     IC1                                                                                                                                                                                                                                                          
1   MC78L12         MC78LXXSOIC8     IC4                                                                                                                                                                                                                                                          
1   MC79L12         MC79LXXSOIC      IC7                                                                                                                                                                                                                                                          
1   MDD02M-15       MDD02            TR2                                                                                                                                                                                                                                                          
6   N.C.            R-EU_R0805       R10, R14, R62, R63, R64, R65                                                                                                                                                                                                                                 
2   OPA376AIDBVR    OPA376AIDBVR     IC12, IC35                                                                                                                                                                                                                                                   
2   OPA2196D        TL072SOIC8       IC9, IC14                                                                                                                                                                                                                                                    
2   PCB-MB          PCB-MB           KK1, KK2                                                                                                                                                                                                                                                     
8   PESD12VL1BA.115 PESDXL1BA        TVS1, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8                                                                                                                                                                                                               
1   SSW-106-02-S-S  SSW-106-02-S-S   X2                                                                                                                                                                                                                                                           
1   STM32F446ZCT6   STM32F446ZCT6    IC8                                                                                                                                                                                                                                                          
2   Si8641AB-B-IS1  SI8641NSOIC-16   IC2, IC3                                                                                                                                                                                                                                                     
1   TBA2-1223       TBA-DUAL-2W      TR1                                                                                                                                                                                                                                                          
1   TL431B          TL431            IC20                                                                                                                                                                                                                                                         
