Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB MIO168 r2B5.brd" as of: 29.3.2021. 12:20
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,3.777,0.430,270
C2,Top,4.330,0.407,270
C3,Top,4.330,0.828,270
C4,Top,3.845,0.485,270
C5,Top,3.905,0.828,270
C6,Top,5.406,1.694,0
C7,Top,5.316,1.837,270
C8,Top,4.758,0.770,270
C9,Top,5.468,1.984,270
C10,Top,5.045,1.090,0
C11,Top,5.200,1.090,180
C12,Top,4.980,1.262,0
C13,Top,5.312,1.360,0
C14,Top,5.138,1.355,180
C15,Top,5.590,1.255,180
C16,Top,5.670,1.465,270
C17,Top,5.460,1.355,180
C18,Top,5.600,0.700,180
C19,Top,5.525,1.087,0
C20,Top,5.565,0.620,0
C21,Top,5.370,1.087,0
C22,Top,0.464,3.309,180
C23,Top,4.758,1.035,90
C24,Top,5.471,3.644,180
C25,Top,4.218,1.920,315
C26,Top,4.308,1.830,135
C27,Top,5.390,2.340,45
C28,Top,4.284,2.018,135
C29,Top,4.436,1.859,315
C30,Top,4.780,1.783,225
C31,Top,4.945,1.945,225
C32,Top,5.088,2.087,225
C33,Top,5.295,2.355,45
C34,Top,5.105,2.620,315
C35,Top,4.952,2.770,315
C36,Top,4.751,2.965,315
C37,Top,4.383,2.803,45
C38,Top,4.258,2.678,45
C39,Top,4.537,1.678,225
C40,Top,4.598,1.637,225
C41,Top,4.854,2.925,225
C42,Top,5.317,2.220,135
C43,Top,3.107,2.255,0
C44,Top,0.840,1.820,90
C45,Top,3.623,2.015,0
C46,Top,3.107,2.178,0
C47,Top,3.145,2.328,180
C48,Top,3.578,1.900,270
C49,Top,3.225,1.900,270
C50,Top,3.505,1.885,90
C51,Top,3.297,1.885,90
C52,Top,3.107,1.570,0
C53,Top,0.840,1.647,90
C54,Top,3.623,1.353,0
C55,Top,3.107,1.492,0
C56,Top,3.145,1.643,180
